score,is_answered,owner_rep,owner_accept_rate,title_len,body_length,num_codeblocks,len_codeblocks,code/text,num_tags
1,True,309,0,45,961,0,0,0.0,2
1,True,23,0,38,266,0,0,0.0,1
1,True,4068,57,60,331,5,62,0.18731117824773413,2
2,True,23,0,59,1180,0,0,0.0,4
1,True,57,0,94,1257,1,49,0.03898170246618934,4
1,True,33,0,72,873,0,0,0.0,3
1,False,1939,42,58,2699,2,102,0.03779177473138199,5
1,False,21,0,71,2030,0,0,0.0,5
1,False,61,0,64,953,3,134,0.14060860440713535,5
1,True,14078,88,56,131,2,8,0.061068702290076333,1
1,True,547,0,56,332,0,0,0.0,1
3,True,101,0,55,594,2,16,0.026936026936026935,3
1,False,25,0,130,4238,1,144,0.033978291647003306,5
1,True,7468,100,43,614,5,171,0.2785016286644951,2
1,False,259,0,92,737,3,52,0.07055630936227951,5
1,True,105,0,94,613,0,0,0.0,3
2,True,154,0,46,384,0,0,0.0,2
2,True,25,0,51,1329,0,0,0.0,4
1,True,199,0,62,467,3,201,0.430406852248394,3
-2,True,21,0,40,1380,0,0,0.0,2
1,True,79,0,103,900,0,0,0.0,1
-3,True,9,0,23,568,0,0,0.0,1
2,False,1381,0,57,829,4,25,0.030156815440289506,1
4,True,43,0,64,615,0,0,0.0,3
2,True,581,0,72,420,3,20,0.047619047619047616,3
3,True,33,0,72,1695,9,105,0.061946902654867256,4
2,False,31,0,54,1798,0,0,0.0,4
2,False,833,0,87,1177,0,0,0.0,3
1,False,5337,0,99,857,0,0,0.0,5
3,False,31,0,56,787,4,76,0.096569250317662,5
1,False,21,0,36,1378,2,113,0.08200290275761973,5
1,True,333,0,118,1615,0,0,0.0,4
4,True,0,0,75,789,3,50,0.06337135614702155,1
1,False,11,0,87,1555,0,0,0.0,4
1,True,1147,0,42,2688,13,92,0.03422619047619048,3
2,False,41,0,108,484,0,0,0.0,3
2,True,9694,81,82,1770,13,191,0.10790960451977401,3
1,False,19,0,75,671,0,0,0.0,1
1,False,21,0,66,973,2,66,0.06783144912641316,3
2,True,453,0,81,519,5,198,0.3815028901734104,2
2,False,766,0,60,1067,0,0,0.0,2
1,False,403,60,39,225,2,33,0.14666666666666667,2
1,False,13,0,52,3530,4,56,0.01586402266288952,5
9,True,3634,88,56,357,3,66,0.18487394957983194,3
10,False,101,0,70,851,2,18,0.021151586368977675,4
1,True,111,75,86,559,3,68,0.12164579606440072,3
14,False,141,0,81,1340,0,0,0.0,1
5,True,83,0,79,461,0,0,0.0,1
2,False,427,0,52,148,0,0,0.0,5
1,True,388,0,37,850,0,0,0.0,3
2,False,66,0,49,428,0,0,0.0,2
2,True,89,0,38,5427,5,50,0.009213193292795283,3
1,True,6860,62,33,939,2,8,0.008519701810436636,5
7,True,437,0,38,212,4,71,0.33490566037735847,1
2,True,145,0,45,3970,0,0,0.0,4
1,False,53,0,43,521,2,103,0.19769673704414586,4
1,False,41,0,39,190,0,0,0.0,1
1,False,416,43,85,1867,5,500,0.2678093197643278,3
1,True,1152,33,103,990,2,94,0.09494949494949495,5
1,True,0,0,46,1196,3,63,0.052675585284280936,2
2,True,726,75,60,924,0,0,0.0,3
8,True,157,0,30,433,0,0,0.0,1
3,False,31,0,55,299,0,0,0.0,3
4,True,315,33,56,21268,0,0,0.0,4
2,True,362,0,63,141,0,0,0.0,3
1,False,11,0,124,1066,1,4,0.00375234521575985,5
1,True,982,0,55,1194,0,0,0.0,4
3,True,605,0,35,373,0,0,0.0,3
-1,False,1,0,128,5942,0,0,0.0,5
1,False,11,0,76,2346,2,65,0.027706734867860187,4
2,True,988,40,44,3594,1,91,0.02531997774067891,2
1,False,31,0,46,184,0,0,0.0,1
3,True,1213,61,48,2365,4,103,0.043551797040169135,4
4,False,59530,86,112,875,0,0,0.0,3
1,False,4102,88,58,574,0,0,0.0,3
3,True,1744,80,57,2313,12,216,0.0933852140077821,2
1,False,21,0,70,282,4,93,0.32978723404255317,2
1,False,759,76,88,990,0,0,0.0,2
1,True,454,0,34,1980,0,0,0.0,3
2,True,230,0,59,494,1,58,0.11740890688259109,5
2,True,3051,80,57,2058,7,102,0.04956268221574344,4
2,False,345,0,54,3252,6,120,0.03690036900369004,4
-2,True,1732,48,70,1112,0,0,0.0,4
1,True,13,0,68,864,3,77,0.08912037037037036,5
1,True,223,67,118,1002,0,0,0.0,4
2,True,953,85,49,402,4,61,0.1517412935323383,5
2,True,970,0,73,1805,2,86,0.04764542936288089,3
1,False,41,0,83,643,0,0,0.0,3
-1,False,477,0,67,1132,1,18,0.015901060070671377,5
1,False,363,0,51,786,0,0,0.0,1
2,True,286,0,80,172,1,16,0.09302325581395349,3
-1,True,107,82,42,900,0,0,0.0,2
-4,True,7468,100,51,1509,0,0,0.0,2
-2,False,1,0,67,574,0,0,0.0,3
2,False,1322,80,75,1629,11,103,0.06322897483118478,2
1,True,1880,0,63,756,3,57,0.07539682539682539,4
3,True,45,0,110,661,0,0,0.0,3
-2,True,2786,56,81,231,1,150,0.6493506493506493,2
1,True,35,0,50,5604,0,0,0.0,1
2,True,460,0,47,1559,2,35,0.02245028864656831,3
-1,True,21,0,48,499,0,0,0.0,1
1,False,189,0,32,5331,0,0,0.0,5
1,False,11,0,53,1298,0,0,0.0,2
2,True,858,0,60,998,7,122,0.12224448897795591,3
1,True,91,0,49,337,0,0,0.0,4
-3,False,1,0,83,137,0,0,0.0,3
1,False,19,0,86,566,2,22,0.038869257950530034,1
1,True,639,0,124,1182,0,0,0.0,5
1,True,13,0,73,1077,1,61,0.056638811513463325,4
3,False,89,0,45,200,0,0,0.0,4
1,True,51,0,57,458,1,28,0.0611353711790393,2
1,True,883,0,21,2994,0,0,0.0,3
2,False,21,0,77,1434,0,0,0.0,4
1,True,85,0,31,634,1,16,0.025236593059936908,3
4,False,1695,40,56,134,2,12,0.08955223880597014,4
1,False,568,68,50,1032,0,0,0.0,3
2,False,16428,82,51,846,1,14,0.016548463356973995,2
3,True,41,0,37,1632,0,0,0.0,3
2,True,1761,84,78,1665,4,67,0.04024024024024024,5
-3,True,27,0,67,1365,2,109,0.07985347985347985,2
1,True,75,0,129,3314,0,0,0.0,5
-1,True,3,0,79,384,0,0,0.0,4
2,True,391,0,55,512,1,5,0.009765625,3
1,True,49,0,62,801,2,43,0.05368289637952559,2
-1,True,1,0,36,349,0,0,0.0,1
1,True,307,0,24,896,0,0,0.0,4
2,False,33,0,46,980,0,0,0.0,3
3,True,468,0,68,2087,5,88,0.04216578821274557,4
2,False,141,17,83,425,1,44,0.10352941176470588,4
1,False,3132,68,33,673,6,10,0.014858841010401188,3
1,True,5,0,55,654,2,13,0.019877675840978593,2
1,True,111,0,36,341,0,0,0.0,4
1,True,13,0,69,1756,0,0,0.0,5
1,True,247,0,56,1278,0,0,0.0,1
1,True,158,0,67,892,0,0,0.0,5
1,True,21,0,56,728,8,70,0.09615384615384616,2
-1,True,34705,77,70,1800,0,0,0.0,4
1,True,817,0,61,817,0,0,0.0,5
-1,True,539,77,46,421,4,118,0.28028503562945367,2
2,False,39,0,45,735,0,0,0.0,4
1,False,409,53,43,358,0,0,0.0,4
2,False,325,0,76,3673,1,657,0.17887285597604138,2
4,True,91,0,24,352,0,0,0.0,2
1,True,186,0,63,2023,0,0,0.0,4
1,True,6669,71,97,2750,11,77,0.028,5
1,True,4060,75,91,748,4,38,0.05080213903743316,1
3,True,51,0,25,2865,0,0,0.0,4
-1,True,33,0,61,176,0,0,0.0,2
-2,True,25,0,131,463,0,0,0.0,2
6,True,832,0,43,1054,2,66,0.06261859582542695,3
2,False,41,0,35,2278,0,0,0.0,4
3,True,45,0,28,1235,0,0,0.0,4
1,True,1443,58,138,738,1,55,0.07452574525745258,2
1,False,6923,79,54,1228,2,33,0.02687296416938111,5
1,False,1687,0,83,1100,16,208,0.1890909090909091,5
1,True,375,0,38,1132,0,0,0.0,5
1,False,105,0,51,908,2,13,0.014317180616740088,3
3,True,0,0,59,846,0,0,0.0,5
1,False,53,0,49,1029,2,403,0.391642371234208,4
1,True,484,0,49,407,1,14,0.0343980343980344,3
1,True,158,0,61,1533,0,0,0.0,5
1,False,187,0,66,1038,3,26,0.025048169556840076,3
4,True,93,0,35,294,3,3,0.01020408163265306,1
3,True,95,0,65,315,1,56,0.17777777777777778,3
-1,False,43,0,39,186,0,0,0.0,2
2,True,2054,0,47,1292,4,26,0.020123839009287926,4
8,True,766,50,34,216,7,75,0.3472222222222222,1
1,False,7,0,59,7810,0,0,0.0,3
1,False,71,0,77,426,0,0,0.0,3
1,True,11,0,72,1286,0,0,0.0,2
3,True,1749,0,39,332,0,0,0.0,4
-2,True,13,0,44,510,1,195,0.38235294117647056,4
2,True,146,0,42,1447,0,0,0.0,5
1,True,165,0,54,1997,3,46,0.02303455182774161,4
-3,True,115,0,25,1085,0,0,0.0,4
-1,True,3,0,33,477,0,0,0.0,1
2,False,63,0,39,1895,0,0,0.0,4
-2,True,111,0,60,465,2,22,0.047311827956989246,3
1,False,7148,51,19,210,2,18,0.08571428571428572,4
1,False,61,0,53,569,0,0,0.0,4
-4,True,21,0,31,548,0,0,0.0,2
1,True,973,33,137,1156,0,0,0.0,3
1,False,0,0,46,461,0,0,0.0,1
-2,False,7,0,74,306,0,0,0.0,4
2,False,269,0,43,1675,0,0,0.0,3
8,True,2348,70,100,639,12,130,0.20344287949921752,5
1,False,11,0,82,837,0,0,0.0,4
7,False,101,0,40,4603,0,0,0.0,5
1,False,133,0,45,1364,0,0,0.0,4
3,True,43,0,40,313,2,67,0.21405750798722045,2
9,True,171,0,42,1419,1,102,0.07188160676532769,2
1,False,3773,61,97,511,6,40,0.07827788649706457,5
6,True,10429,50,46,721,3,57,0.07905686546463246,1
4,True,57,0,126,294,0,0,0.0,5
-1,True,85,0,62,989,0,0,0.0,4
1,True,0,0,38,1248,0,0,0.0,1
41,True,3918,75,67,784,3,61,0.0778061224489796,1
2,False,366,0,66,920,0,0,0.0,2
12,True,975,0,27,584,0,0,0.0,2
1,False,21,0,90,809,0,0,0.0,4
2,True,681,0,20,897,0,0,0.0,3
2,True,467,0,107,862,0,0,0.0,3
1,False,39,0,79,1690,0,0,0.0,5
2,True,2879,88,35,80,0,0,0.0,2
4,True,41,0,89,570,0,0,0.0,3
1,True,83,0,24,215,0,0,0.0,3
4,True,0,0,22,514,0,0,0.0,5
3,True,35,0,86,451,0,0,0.0,1
1,True,21,0,80,943,1,60,0.06362672322375397,2
2,True,344,29,22,168,0,0,0.0,4
2,False,344,29,50,296,1,12,0.04054054054054054,4
2,False,31,0,56,1313,4,415,0.31607006854531605,3
1,True,11,0,65,366,0,0,0.0,2
6,True,61,0,42,1136,0,0,0.0,4
3,True,457,0,47,209,0,0,0.0,5
1,False,454,0,96,2850,0,0,0.0,4
3,True,2142,0,123,292,0,0,0.0,5
1,True,686,0,34,1820,0,0,0.0,2
1,False,538,0,67,1218,0,0,0.0,1
1,True,2338,0,45,771,0,0,0.0,1
7,True,171,0,39,272,0,0,0.0,1
1,True,43,0,81,645,0,0,0.0,1
2,True,167,0,62,2006,2,53,0.02642073778664008,2
1,True,134,0,38,951,0,0,0.0,3
5,True,76018,83,130,8273,16,161,0.019460896893509005,4
1,True,1889,82,72,831,6,205,0.246690734055355,1
-3,True,45,0,39,651,1,11,0.016897081413210446,2
8,True,3674,23,94,1314,1,12,0.0091324200913242,5
2,False,41,0,65,1931,0,0,0.0,5
2,False,1400,0,62,371,5,127,0.3423180592991914,3
2,True,123,0,42,297,0,0,0.0,2
1,True,29,0,60,1269,0,0,0.0,2
-1,False,59,0,42,1369,0,0,0.0,5
-1,True,3,0,92,562,0,0,0.0,5
1,True,51,0,83,490,0,0,0.0,3
4,True,25842,0,59,1669,7,110,0.0659077291791492,4
-1,False,89,0,76,178,6,36,0.20224719101123595,2
1,True,39,0,32,314,0,0,0.0,4
1,True,166,0,111,828,1,63,0.07608695652173914,3
5,True,67,0,46,3435,3,39,0.011353711790393014,2
1,False,125,0,99,478,2,80,0.16736401673640167,2
1,False,11,0,103,403,1,33,0.08188585607940446,3
-2,True,3,0,26,282,0,0,0.0,2
1,False,19,0,25,707,0,0,0.0,3
2,True,115,0,100,823,0,0,0.0,2
1,False,11,0,78,887,0,0,0.0,1
1,True,517,0,42,998,2,130,0.13026052104208416,4
1,True,7890,67,42,473,1,12,0.02536997885835095,3
2,True,155,0,61,1271,1,12,0.00944138473642801,2
1,False,2900,0,106,9302,15,353,0.03794882820898732,3
-1,True,129,0,51,874,0,0,0.0,3
1,True,133,0,51,2660,0,0,0.0,5
2,True,195,0,47,595,0,0,0.0,5
8,True,10884,85,73,376,0,0,0.0,2
-1,True,249,0,46,768,0,0,0.0,2
1,True,1275,0,49,778,0,0,0.0,2
1,True,25,0,80,566,0,0,0.0,2
2,True,402,0,60,6274,4,42,0.0066942939113803,2
1,False,11,0,55,2479,5,3799,1.5324727712787414,3
-3,False,1,0,41,235,3,93,0.39574468085106385,3
3,False,33,0,82,223,0,0,0.0,3
1,True,13,0,62,288,2,127,0.4409722222222222,2
1,True,23,0,66,1400,0,0,0.0,2
1,True,19,60,34,1304,0,0,0.0,3
3,True,471,0,32,877,0,0,0.0,5
2,True,846,37,64,675,4,317,0.4696296296296296,2
-1,True,37,0,44,197,0,0,0.0,1
2,True,2842,0,47,893,3,60,0.0671892497200448,3
1,False,11,0,32,319,0,0,0.0,5
1,True,717,32,71,379,2,18,0.047493403693931395,3
1,True,65,0,47,4250,1,43,0.01011764705882353,5
-1,True,1255,0,57,547,0,0,0.0,2
1,True,13,0,39,3403,0,0,0.0,2
1,True,17498,90,59,1107,0,0,0.0,2
2,True,55,0,108,442,1,100,0.22624434389140272,5
-1,True,1,0,58,6086,0,0,0.0,1
3,True,329,0,67,686,0,0,0.0,4
-2,False,11,0,86,312,1,12,0.038461538461538464,3
1,True,62,0,106,849,0,0,0.0,3
-1,False,1,0,32,549,0,0,0.0,2
2,True,23,0,46,159,0,0,0.0,4
2,True,33,0,51,1000,0,0,0.0,2
1,True,15,0,37,896,1,149,0.16629464285714285,2
1,False,105,0,143,1056,1,36,0.03409090909090909,3
1,True,444,0,73,1128,0,0,0.0,5
2,True,1544,67,89,1521,8,57,0.03747534516765286,2
1,False,117,0,86,1747,0,0,0.0,2
1,True,507,0,61,2590,1,62,0.023938223938223938,3
2,True,89,0,108,297,0,0,0.0,2
2,True,23,0,55,4567,0,0,0.0,2
1,True,213,0,59,1485,0,0,0.0,3
1,False,325,0,63,1765,0,0,0.0,3
1,False,29,0,50,734,0,0,0.0,2
-2,True,362,0,47,662,0,0,0.0,3
1,False,11,0,57,640,0,0,0.0,3
2,True,2367,47,42,280,5,148,0.5285714285714286,1
2,False,21,0,72,599,0,0,0.0,5
4,True,2706,0,62,257,2,21,0.08171206225680934,3
1,False,31,0,109,314,0,0,0.0,4
2,True,0,0,60,762,0,0,0.0,4
2,True,1655,75,47,464,0,0,0.0,1
1,True,13,0,96,1219,0,0,0.0,4
1,False,41,0,88,955,0,0,0.0,1
1,True,37,0,110,1299,0,0,0.0,5
2,False,21,0,52,1520,3,194,0.12763157894736843,3
1,True,2025,50,48,689,5,82,0.11901306240928883,2
1,True,69,0,56,638,1,61,0.09561128526645768,3
1,False,11,0,87,1142,0,0,0.0,4
2,True,455,0,44,832,1,24,0.028846153846153848,3
2,True,896,40,37,1203,0,0,0.0,2
1,False,112,0,57,84,0,0,0.0,4
-2,True,1,0,68,924,0,0,0.0,2
1,False,1004,0,86,249,1,18,0.07228915662650602,5
1,True,41,0,57,604,0,0,0.0,2
3,True,0,0,46,970,2,89,0.09175257731958762,2
1,True,37,0,80,252,0,0,0.0,3
1,True,795,0,35,898,0,0,0.0,5
1,True,49,0,65,705,0,0,0.0,3
1,True,51,0,83,777,1,9,0.011583011583011582,3
1,True,1168,0,54,941,23,337,0.35812964930924546,3
1,True,157,0,48,69,0,0,0.0,1
1,True,1264,0,40,3709,0,0,0.0,5
1,True,13,0,46,292,1,27,0.09246575342465753,2
3,False,1939,42,57,1061,0,0,0.0,3
2,True,23,0,76,17429,1,31700,1.8188077342360434,4
-1,True,19,0,74,589,0,0,0.0,3
1,False,1143,0,47,254,0,0,0.0,2
3,True,7664,65,123,773,6,31,0.040103492884864166,2
1,False,2924,94,48,1270,2,13,0.010236220472440945,4
-1,True,52,0,71,1523,0,0,0.0,3
2,False,95,0,70,511,2,60,0.11741682974559686,3
1,True,1168,0,50,824,19,140,0.16990291262135923,3
2,True,175,0,82,603,3,44,0.07296849087893864,5
1,False,1500,25,36,946,0,0,0.0,2
1,False,692,0,35,2232,0,0,0.0,3
1,True,1216,0,51,299,1,3,0.010033444816053512,1
1,False,325,0,82,625,4,38,0.0608,4
2,True,3753,0,53,130,3,59,0.45384615384615384,1
1,False,2010,31,64,530,4,89,0.16792452830188678,3
-2,False,9,0,51,413,1,19,0.04600484261501211,5
1,False,1209,0,53,523,0,0,0.0,3
1,True,65,0,31,438,0,0,0.0,2
-1,True,0,0,37,529,0,0,0.0,5
1,True,557,0,60,367,2,65,0.1771117166212534,1
-2,True,51,0,52,291,0,0,0.0,3
1,True,483,0,70,651,1,1,0.0015360983102918587,2
-1,False,1,0,118,527,2,12,0.022770398481973434,3
2,True,127,0,65,167,3,27,0.16167664670658682,2
1,True,886,0,30,3349,15,100,0.029859659599880562,4
1,True,157,75,59,2175,10,115,0.052873563218390804,2
1,True,2775,0,94,394,0,0,0.0,2
1,False,31,0,43,734,0,0,0.0,3
3,True,89,0,73,701,0,0,0.0,3
7,True,128,0,57,3291,0,0,0.0,3
5,True,113,0,87,608,0,0,0.0,2
1,True,11,0,77,2070,0,0,0.0,2
2,True,568,0,52,567,0,0,0.0,3
7,True,716,100,52,2759,15,144,0.05219282348677057,5
-2,True,11,0,45,73,0,0,0.0,2
1,True,312,25,46,409,2,146,0.3569682151589242,5
4,True,330,0,28,221,0,0,0.0,3
4,True,32810,60,52,659,0,0,0.0,4
-2,True,376,0,41,716,0,0,0.0,1
6,True,139,0,85,1274,1,16,0.012558869701726845,5
4,True,95,0,67,631,5,51,0.08082408874801902,3
2,True,592,96,51,543,0,0,0.0,4
3,True,5832,0,60,353,1,46,0.13031161473087818,4
1,True,59,0,51,484,0,0,0.0,5
2,True,23,0,31,646,0,0,0.0,2
1,True,13,0,23,329,0,0,0.0,5
3,False,59,0,73,801,0,0,0.0,3
2,True,1524,37,49,1256,9,107,0.08519108280254777,3
1,True,614,0,71,338,0,0,0.0,4
1,True,12108,0,55,366,0,0,0.0,4
6,True,135,0,34,219,0,0,0.0,4
1,True,13,0,42,847,0,0,0.0,5
2,False,197,54,75,959,2,23,0.023983315954118872,3
2,True,708,0,159,684,5,208,0.30409356725146197,5
2,True,50,0,69,2261,0,0,0.0,5
1,True,11526,0,92,777,16,144,0.18532818532818532,2
3,False,143,0,44,1275,0,0,0.0,2
1,True,433,0,88,130,0,0,0.0,1
-1,True,87,0,74,1568,0,0,0.0,5
8,True,4747,0,79,1046,7,145,0.13862332695984703,4
1,False,344,0,102,280,0,0,0.0,2
3,False,461,0,80,2063,5,138,0.06689287445467765,5
-2,True,38,0,138,2483,0,0,0.0,4
1,False,1,0,29,701,0,0,0.0,1
1,True,395,0,59,701,0,0,0.0,5
1,True,31,0,43,1286,0,0,0.0,5
1,False,11,0,45,589,0,0,0.0,5
1,False,207,0,51,1851,0,0,0.0,3
1,True,43,0,47,589,0,0,0.0,5
3,False,113081,68,74,1522,1,5,0.0032851511169513796,1
2,True,23,0,43,4027,0,0,0.0,2
1,True,71,0,144,1776,0,0,0.0,5
2,True,521,76,62,772,0,0,0.0,5
1,True,137,0,60,791,1,22,0.02781289506953224,2
-1,True,13,0,60,913,0,0,0.0,2
1,True,22465,60,61,1673,1,3,0.0017931858936043037,2
3,True,65,0,36,380,1,18,0.04736842105263158,4
1,True,852,64,51,544,0,0,0.0,1
2,False,43,0,72,459,0,0,0.0,5
-3,True,23,0,45,173,0,0,0.0,2
1,False,368,0,53,743,0,0,0.0,5
-1,False,21,0,44,310,1,59,0.19032258064516128,5
1,False,343,0,61,7520,0,0,0.0,2
1,False,109,0,56,644,1,84,0.13043478260869565,2
1,False,11,0,73,1209,8,147,0.12158808933002481,3
2,True,43,0,39,108,3,87,0.8055555555555556,2
1,True,25,0,57,1780,0,0,0.0,3
-1,True,3,0,43,1378,0,0,0.0,4
11,True,133,0,93,1909,1,6,0.003143006809848088,1
1,False,19,0,36,933,13,245,0.26259378349410506,2
1,True,887,73,119,1273,3,189,0.14846818538884524,3
1,False,0,0,42,852,0,0,0.0,2
1,False,451,0,141,1932,2,20,0.010351966873706004,3
-1,True,3239,62,45,1161,4,140,0.12058570198105081,5
3,True,0,0,54,161,0,0,0.0,1
1,False,9,0,78,315,1,77,0.24444444444444444,1
-2,False,13,0,22,1437,0,0,0.0,3
-3,False,1,0,57,256,0,0,0.0,4
1,True,15,0,114,1664,1,54,0.03245192307692308,5
2,True,1693,43,56,1296,0,0,0.0,3
2,True,53,0,60,2236,1,10,0.004472271914132379,2
7,True,479,0,60,1016,7,182,0.17913385826771652,4
1,False,19,0,32,1046,4,74,0.07074569789674952,5
4,True,113,0,91,469,4,60,0.1279317697228145,2
1,True,1204,0,127,1120,2,8,0.007142857142857143,5
1,True,25205,89,50,1709,1,22,0.012873025160912814,5
-1,True,27,75,73,673,0,0,0.0,3
2,True,351,88,35,1768,0,0,0.0,2
9,True,3835,0,53,2159,20,139,0.06438165817508106,3
1,True,140,0,75,719,0,0,0.0,4
1,True,131,0,46,4940,0,0,0.0,3
1,False,3568,0,62,1455,1,92,0.06323024054982818,5
-2,True,5,0,28,731,1,40,0.05471956224350205,5
1,True,7521,0,70,1217,6,90,0.07395234182415776,4
1,True,11552,84,40,534,4,36,0.06741573033707865,3
5,False,46271,88,108,1141,2,8,0.007011393514460999,1
1,True,378,0,58,579,0,0,0.0,4
1,True,101,0,41,459,0,0,0.0,2
1,True,81,25,93,2313,1,337,0.14569822741028968,4
3,True,73,0,57,855,1,51,0.05964912280701754,2
2,False,1123,0,45,911,0,0,0.0,2
-3,False,1,0,116,112,0,0,0.0,1
-1,True,9,0,119,649,0,0,0.0,3
1,True,29,0,39,959,0,0,0.0,2
1,False,1225,0,36,955,3,66,0.06910994764397906,3
1,True,246,0,44,2055,0,0,0.0,5
2,True,109,0,31,203,0,0,0.0,2
1,False,21,0,72,570,0,0,0.0,4
1,False,11,0,62,670,0,0,0.0,2
2,True,63,0,24,4325,0,0,0.0,3
-1,True,3,0,29,544,4,96,0.17647058823529413,4
2,True,197,0,54,1629,2,34,0.020871700429711478,3
1,True,291,0,91,5165,12,105,0.02032913843175218,2
1,True,93,0,57,402,0,0,0.0,5
2,True,945,0,68,626,0,0,0.0,4
1,True,103,0,96,824,4,152,0.18446601941747573,2
1,False,132,0,48,1217,1,85,0.06984387838948233,3
2,True,119,0,59,1487,0,0,0.0,5
3,True,0,0,45,888,0,0,0.0,2
1,False,11,0,34,430,0,0,0.0,4
2,True,63,0,60,719,0,0,0.0,2
1,False,154,80,50,1029,0,0,0.0,3
2,True,45,0,35,462,0,0,0.0,4
1,True,11,0,40,293,0,0,0.0,4
3,True,97,0,73,1358,0,0,0.0,3
1,False,11,0,38,426,0,0,0.0,2
1,True,817,0,61,1921,0,0,0.0,4
-1,True,79,0,100,2997,0,0,0.0,1
2,True,9693,89,65,1230,0,0,0.0,3
-1,False,111,0,37,847,3,52,0.06139315230224321,4
1,False,790,0,49,203,4,52,0.2561576354679803,4
1,True,57,0,57,528,0,0,0.0,2
1,False,288,0,72,1889,11,684,0.3620963472736898,3
1,True,27,0,53,1418,0,0,0.0,1
1,False,394,0,84,961,0,0,0.0,5
1,True,655,0,47,570,5,53,0.09298245614035087,5
-1,True,635,15,41,378,1,12,0.031746031746031744,3
1,True,42,0,54,2641,2,56,0.021204089360090876,4
-2,False,1,0,68,725,0,0,0.0,2
2,False,21,0,102,5115,4,85,0.016617790811339198,4
1,False,11,0,65,3244,0,0,0.0,4
1,False,5865,31,54,599,5,425,0.7095158597662772,4
2,True,314,0,72,1150,0,0,0.0,3
1,False,67,0,32,1045,0,0,0.0,4
-2,True,5,0,72,928,0,0,0.0,2
1,False,1012,77,58,589,1,5,0.008488964346349746,3
1,True,325,0,34,472,3,190,0.4025423728813559,2
2,False,77,0,52,673,0,0,0.0,5
16,True,954,0,74,242,0,0,0.0,2
2,False,1016,51,64,1225,4,64,0.052244897959183675,4
1,True,119,0,36,1011,1,55,0.05440158259149357,3
1,True,53,0,68,233,0,0,0.0,3
3,True,2926,93,43,1611,4,42,0.0260707635009311,2
1,True,83,0,54,962,0,0,0.0,5
1,False,33,0,103,3974,0,0,0.0,4
1,False,338,0,47,430,5,86,0.2,3
1,True,0,0,41,1095,0,0,0.0,4
1,False,11,0,77,1255,0,0,0.0,2
2,True,21,0,30,249,2,235,0.9437751004016064,2
